MANDT,LIFNR,LAND1,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,PFACH,PSTL2,PSTLZ,REGIO,SORTL,STRAS,ADRNR,MCOD1,MCOD2,MCOD3,ANRED,BAHNS,BBBNR,BBSNR,BEGRU,BRSCH,BUBKZ,DATLT,DTAMS,DTAWS,ERDAT,ERNAM,ESRNR,KONZS,KTOKK,KUNNR,LNRZA,LOEVM,SPERR,SPERM,SPRAS,STCD1,STCD2,STKZA,STKZU,TELF1,TELF2,TELFX,XCPDK,XZEMP,VBUND,FISKN,STCEG,STKZN,GBORT,GBDAT,SEXKZ,KRAUS,REVDB,QSSYS,PFORT,WERKS,LTSNA,WERKR,PLKAL,TXJCD,SPERZ,SFRGR,LZONE,DLGRP,FITYP,STCD3,STCD4,STCD5,PROFS,EMNFR,LFURL,UPDAT,UPTIM,NODEL,CCODE,RES_CNTRY,RES_REGION,J_SC_CAPITAL,J_SC_CURRENCY
100,1000000000,GB,"Diaz, Sandoval and Miller",Inc,,,West Jenniferchester,bury,PO73197,69927,85087,MN,SORTeYom,14299 Khan Cliff Apt. 103,9000000000,Stewart-Jones,West Sandra,Cocos (Keeling) Islands,M/s,New Andreaville,1883852,73733,0001,MANU,3,DL4236959892,,01,20240709,pgray,59881835609,GRPwwHt,Z001,2269059806,,,,,D,GST7184459860,PAN43617139,X,,(843)402-2296x58,001-982-493-4858,906.427.2666x646,,,CoLerj,,VAT24968405622,,Malloryhaven,19660809,M,CR68941180,20250825,ISO1,Duncanmouth,1929,,X,01,TX1863082662,,0002,ZONEYILf,DG01,02,TAX66071056635,TAX25564737240,TAX0611762838550326257369305903,Supplier,EM712656,http://chen.info/,20260212,130458,,1000,GB,MN,4852631.71,INR
400,1000000001,GB,"Hamilton, Hensley and Leonard",LLC,,,Port Jesse,chester,PO15474,37330,76911,MN,SORTIGCE,675 Scott Neck Apt. 283,9000000001,Johnson Ltd,North Blake,Greece,Mr.,Lake Danielfurt,4492661,10300,0001,PHAR,4,DL5840594967,,02,20240605,david65,76090898520,GRPAeQw,Z001,2261015814,,,,,E,GST9713303993,PAN99408212,X,,(355)893-9737,916.932.1233,388.700.6413x832,,,CDhvhF,,VAT24658796101,,South Karen,20000902,F,CR17957658,20260201,ISO1,Lambburgh,3379,X,,01,TX0047227583,,0001,ZONEQfzg,DG01,02,TAX09087591005,TAX70504394446,TAX6339057700687859599659394081,Supplier,EM881903,https://valdez.com/,20260212,130458,,1000,GB,MN,8822833.35,INR
100,1000000002,US,"Warren, Lyons and Hart",Group,,,North Jill,stad,PO31554,33570,52819,NY,SORTOrJy,63336 Caldwell Common,9000000002,Fox Group,Hernandezfurt,Guernsey,M/s,Mooremouth,4668378,15798,0002,MANU,2,DL8783181413,X,02,20231107,bryan96,69442908916,GRPpojb,Z003,2853573733,,,,,D,GST8734321848,PAN77905468,,,522.601.4364x674,001-890-942-4911,546.370.7886x799,,,CZmxxk,,VAT31411993079,X,Port Andrew,19970224,M,CR69636057,20250404,ISO1,West Christopher,5609,X,,01,TX6819760239,,0001,ZONEQyKp,DG02,01,TAX35668708018,TAX39871196997,TAX8866341106284511885391841625,Supplier,EM779688,http://harris.com/,20260212,130458,,3000,US,NY,7767525.98,INR
200,1000000003,DE,"Ellis, Bush and Reynolds",LLC,,,Benjaminfort,side,PO03550,67153,91669,BY,SORTcEtu,81629 Suzanne Parks,9000000003,"Bennett, Gilmore and Cook",East Laura,Chile,Mr.,West Samanthaside,6905570,59368,0001,MANU,4,DL6259954436,X,02,20250118,woodrobin,65333177898,GRPXFGg,Z001,2706796160,,,,,D,GST1410292429,PAN43645780,X,X,240-515-0823,9442680717,001-580-615-8026,,,CONsxM,,VAT24000554520,,South Kayla,19830824,F,CR24168213,20251027,ISO9,Lake Steven,9676,X,X,01,TX2058461907,,0002,ZONEcOKv,DG01,02,TAX94747433574,TAX61134196695,TAX6428983166833844246772491884,Distributor,EM379645,http://hess.com/,20260212,130458,,3000,DE,BY,8620142.72,INR
100,1000000004,US,Mccullough LLC,Inc,,,Nancychester,haven,PO69960,52135,01396,TX,SORTKWjq,95085 Sandra Parks Apt. 548,9000000004,Woods-West,Edwardstown,Zimbabwe,M/s,Whiteborough,3566178,30344,0001,AUTO,0,DL8825438604,,01,20231129,sarahrivera,58783992360,GRPBTaa,Z003,2880812966,,,,,D,GST0498799690,PAN28512615,X,,(944)687-8739x38,309-826-4710x049,679-583-1532,,,CPwgnj,,VAT80377369188,X,Kellieton,19990106,F,CR01094341,20250502,ISO1,North Cynthiastad,8273,X,X,01,TX7894730913,,0001,ZONEjqwC,DG02,01,TAX67097673232,TAX69869215464,TAX8060308775353537564759753661,Manufacturer,EM179297,http://www.carpenter-little.biz/,20260212,130458,,3000,US,TX,9757301.67,INR
400,1000000005,GB,Williams Group,Inc,,,South Gina,berg,PO44548,92002,47158,BK,SORTaeGt,6583 Parks Spurs,9000000005,Mason PLC,Erictown,Japan,M/s,Marshtown,6184442,92671,0001,CONS,9,DL3183588849,,01,20230826,nelsonjeremy,40821919442,GRPsPRh,Z003,2750806636,,,,,E,GST6504093597,PAN42867852,,,(994)893-0536x92,833-867-7481x204,281.670.8046,,,CFVPjc,,VAT53225293940,X,Stephaniefort,19700224,F,CR86684941,20250227,ISO9,East Davidville,3359,X,X,02,TX3104707914,,0002,ZONExmjB,DG02,01,TAX11134475867,TAX53472822957,TAX6290935873890679478800723670,Supplier,EM882929,http://adams-martinez.com/,20260212,130458,,3000,GB,BK,9353063.45,INR
300,1000000006,IN,Pierce-Weeks,and Sons,,,Johnsonstad,borough,PO98470,50773,72555,MH,SORTUYFW,918 Whitney Isle Apt. 623,9000000006,Henry Group,South Kristaburgh,Niue,Mr.,New Thomasside,7848534,50522,0001,PHAR,6,DL8714826392,,02,20240116,johnsonjosep,29663984062,GRPWDVL,Z002,2369172120,,,,,D,GST2083747719,PAN44025679,X,,+1-977-553-5358,726.396.4698,001-831-610-8646x865,,,CwOUTo,,VAT45960589242,X,Port Timothy,19890615,M,CR81054122,20250824,ISO1,South Aliciaport,6799,X,,02,TX0761258372,,0002,ZONEiqUq,DG01,01,TAX22389998389,TAX68843973490,TAX3489033529699551253312515498,Supplier,EM781670,https://hale-cannon.com/,20260212,130458,,3000,IN,MH,3266084.43,INR
100,1000000007,GB,"Rodriguez, Moreno and Howell",Ltd,,,East Jamietown,bury,PO33644,44767,98157,MN,SORTFcHT,9373 Chase Rest Apt. 479,9000000007,"Moore, Wagner and Gutierr",North Deannaville,Malta,M/s,Alishahaven,8085443,99204,0002,AUTO,7,DL1900239962,X,02,20251111,mckenzieregi,69533065024,GRPgXkS,Z002,2135621883,,,,,E,GST6951845105,PAN68979342,X,X,+1-522-334-6176,9679038832,689-627-3567,,,CWgvYA,,VAT95174255605,,Douglasborough,19980309,F,CR41093890,20260113,ISO1,North Dawn,7353,X,,01,TX6940967467,,0002,ZONEnAri,DG01,02,TAX65173092411,TAX01205917160,TAX6138585178722989783973729180,Manufacturer,EM792442,https://www.anderson.com/,20260212,130458,,3000,GB,MN,7745387.68,INR
400,1000000008,US,"Howell, Meyer and Thomas",PLC,,,West Emilyland,mouth,PO32024,10723,74318,NY,SORTwsWb,929 Forbes Ridges Apt. 428,9000000008,Davila Inc,Fosterborough,Mali,M/s,Morganland,9020241,36898,0001,CONS,0,DL3166188071,X,02,20250209,james98,58434129624,GRPHbGh,Z003,2788122575,,,,,E,GST1960744766,PAN64866835,X,X,+1-402-923-6863x,2915765982,(611)970-4062x56859,,,CZyQTl,,VAT98718885616,,Nicholasstad,19871014,M,CR46856920,20250902,ISO1,East Hailey,5200,,X,01,TX9641512779,,0001,ZONEjnIh,DG02,02,TAX61821788685,TAX44757188435,TAX6595538576695905552450820892,Manufacturer,EM887114,https://bryant.net/,20260212,130458,,3000,US,NY,8881439.43,INR
300,1000000009,IN,"Boyle, Montes and Kelly",LLC,,,West Aaron,mouth,PO88567,33369,74423,KA,SORTqefD,788 Juan Shoals,9000000009,Lam-Ball,Amandachester,El Salvador,M/s,Margaretburgh,4784636,11350,0002,AUTO,7,DL3751453705,X,01,20250128,williamsther,62310249374,GRPLeym,Z002,2511153688,,,,,D,GST5469928329,PAN72356002,,,(295)341-0054x09,248-898-0677x400,+1-600-791-2011x1253,,,CnVvdK,,VAT87418182588,X,Joshuahaven,19720120,M,CR98299912,20250419,ISO9,Port Geoffreyton,2482,,X,02,TX7153269275,,0002,ZONEWwMb,DG02,02,TAX61218417811,TAX43032470292,TAX6156852623447114001536944566,Distributor,EM036255,https://morris.biz/,20260212,130458,,2000,IN,KA,3385406.42,INR
